adventure_keyword_count,adventure_keyword_binary,relaxation_keyword_count,relaxation_keyword_binary,culture_keyword_count,culture_keyword_binary,budget_keyword_count,budget_keyword_binary,luxury_keyword_count,luxury_keyword_binary,family_keyword_count,family_keyword_binary,adventure_keyword_ratio,relaxation_keyword_ratio,culture_keyword_ratio,budget_keyword_ratio,luxury_keyword_ratio,family_keyword_ratio,price_tier,region_southeast_asia,region_east_asia,region_south_asia,region_central_asia,region_western_europe,region_eastern_europe,region_southern_europe,region_northern_europe,region_north_america,region_central_america,region_south_america,region_caribbean,region_north_africa,region_west_africa,region_east_africa,region_southern_africa,region_middle_east,region_oceania,destination_name,label
2,0,0,0,3,1,1,1,3,1,0,0,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dubai,Family
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Istanbul,Culture
0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Marrakech,Culture
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Havana,Culture
0,0,1,0,6,1,1,1,0,0,1,1,0.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varanasi,Culture
2,0,0,0,4,1,0,0,0,0,1,1,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Petra,Culture
6,1,0,0,0,0,0,0,0,0,1,1,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bovec,Adventure
6,1,1,0,1,0,1,1,0,0,0,0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leh,Adventure
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sossusvlei,Adventure
7,1,0,0,4,1,0,0,0,0,1,1,0.5833333333333334,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Raja Ampat,Adventure
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flores,Adventure
1,0,0,0,2,0,0,0,0,0,3,1,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Santorini,Relaxation
